DATE,VOUCHER_NO,ACCOUNT_CODE,ACCOUNT_NAME,DEBIT_INR,CREDIT_INR,NARRATION,COUNTERPARTY
01-04-2024,JV-10093,ACC-19808,Utility Expenses - Electricity,40202.34,0,UTR/708158//EXP,Generic Vendor 51 Pvt Ltd
01-04-2024,JV-10093,ACC-57994,Bank A/c - ICICI Current,0,40202.34,UTR/708158//EXP,Generic Vendor 51 Pvt Ltd
01-04-2024,JV-10614,ACC-49980,Repairs and Maintenance - Plant,16795.15,0,UTR/337178//EXP,Generic Vendor 38 Pvt Ltd
01-04-2024,JV-10614,ACC-57994,Bank A/c - ICICI Current,0,16795.15,UTR/337178//EXP,Generic Vendor 38 Pvt Ltd
01-04-2024,JV-10699,ACC-10250,Internet and Comm Charges,38659.2,0,UTR/457311//EXP,Generic Vendor 9 Pvt Ltd
01-04-2024,JV-10699,ACC-14252,Bank A/c - Payroll,0,38659.2,UTR/457311//EXP,Generic Vendor 9 Pvt Ltd
01-04-2024,JV-11098,ACC-89551,Office Supplies & Consumables,108450.02,0,UTR/241647//EXP,Generic Vendor 34 Pvt Ltd
01-04-2024,JV-11098,ACC-57994,Bank A/c - ICICI Current,0,108450.02,UTR/241647//EXP,Generic Vendor 34 Pvt Ltd
01-04-2024,JV-11252,ACC-50342,Legal & Professional Fees - Misc,29411.31,0,UTR/405663//EXP,Generic Vendor 35 Pvt Ltd
01-04-2024,JV-11252,ACC-14252,Bank A/c - Payroll,0,29411.31,UTR/405663//EXP,Generic Vendor 35 Pvt Ltd
01-04-2024,JV-11908,ACC-98439,Travel and Conveyance,139952.62,0,UTR/650462//EXP,Generic Vendor 27 Pvt Ltd
01-04-2024,JV-11908,ACC-64647,Bank A/c - HDFC Primary,0,139952.62,UTR/650462//EXP,Generic Vendor 27 Pvt Ltd
01-04-2024,JV-12250,ACC-47102,Software Subscriptions - SaaS,850000,0,Lease rent LSE-101,TechPark Real Estate
